table,field
Item,Purchasing Blocked
Item,Purchasing Code
Item,Reorder Point
Item,Reorder Quantity
Item,Reordering Policy
Item,Replenishment System
Item,Routing No.
Item,Safety Stock Quantity
Item,Sales Blocked
Item,Sales Unit of Measure
Item,SAT Hazardous Material
Item,SAT Item Classification
Item,SAT Material Type
Item,SAT Packaging Type
Item,Scrap %
Item,Search Description
Item,Serial Nos.
Item,Service Blocked
Item,Service Item Group
Item,Shelf No.
Item,Standard Cost
Item,Statistics Group
Item,SystemCreatedAt
Item,SystemModifiedAt
Item,Tariff No.
Item,Tax Group Code
Item,Type
Item,Unit Cost
Item,Unit List Price
Item,Unit Price
Item,Unit Volume
Item,Units per Parcel
Item,VAT Bus. Posting Gr. (Price)
Item,VAT Prod. Posting Group
Item,Vendor Item No.
Item,Vendor No.
Item,Warehouse Class Code
Item Attribute,Blocked
Item Attribute,ID
Item Attribute,Name
Item Attribute,SystemCreatedAt
Item Attribute,SystemModifiedAt
Item Attribute,Type
Item Attribute,Unit of Measure
Item Attribute Value,Attribute ID
Item Attribute Value,ID
Item Attribute Value,Value
Item Attribute Value,Attribute Name
Item Attribute Value,SystemModifiedAt
Item Attribute Value,SystemModifiedBy
Item Attribute Value Mapping,Item Attribute ID
Item Attribute Value Mapping,Item Attribute Value ID
Item Attribute Value Mapping,No.
Item Attribute Value Mapping,Table ID
Item Attribute Value Mapping,SystemCreatedAt
Item Attribute Value Mapping,SystemModifiedAt
Item Attribute Value Mapping,SystemModifiedBy
Item Category,Code
Item Category,Description
Item Category,Has Children
Item Category,Indentation
Item Category,Last Modified Date Time
Item Category,Parent Category
Item Category,Presentation Order
Item Category,SystemCreatedAt
Item Category,SystemModifiedAt
Item Ledger Entry,Applied Entry to Adjust
Item Ledger Entry,Applies-to Entry
Item Ledger Entry,Area
Item Ledger Entry,Assemble to Order
Item Ledger Entry,Completely Invoiced
Item Ledger Entry,Correction
Item Ledger Entry,Country/Region Code
Item Ledger Entry,Derived from Blanket Order
Item Ledger Entry,Description
Item Ledger Entry,Dimension Set ID
Item Ledger Entry,Document Date
Item Ledger Entry,Document Line No.
Item Ledger Entry,Document No.
Item Ledger Entry,Document Type
Item Ledger Entry,Drop Shipment
Item Ledger Entry,Entry No.
Item Ledger Entry,Entry Type
Item Ledger Entry,Entry/Exit Point
Item Ledger Entry,Expiration Date
Item Ledger Entry,External Document No.
Item Ledger Entry,Global Dimension 1 Code
Item Ledger Entry,Global Dimension 2 Code
Item Ledger Entry,Invoiced Quantity
Item Ledger Entry,Item Category Code
Item Ledger Entry,Item No.
Item Ledger Entry,Item Reference No.
Item Ledger Entry,Item Tracking
Item Ledger Entry,Job No.
Item Ledger Entry,Job Purchase
Item Ledger Entry,Job Task No.
Item Ledger Entry,Last Invoice Date
Item Ledger Entry,Location Code
Item Ledger Entry,Lot No.
Item Ledger Entry,No. Series
Item Ledger Entry,Nonstock
Item Ledger Entry,Open
Item Ledger Entry,Order Line No.
Item Ledger Entry,Order No.
Item Ledger Entry,Order Type
Item Ledger Entry,Originally Ordered No.
Item Ledger Entry,Originally Ordered Var. Code
Item Ledger Entry,Out-of-Stock Substitution
Item Ledger Entry,Package No.
Item Ledger Entry,Positive
Item Ledger Entry,Posting Date
Item Ledger Entry,Prod. Order Comp. Line No.
Item Ledger Entry,Purchasing Code
Item Ledger Entry,Qty. per Unit of Measure
Item Ledger Entry,Quantity
Item Ledger Entry,Remaining Quantity
Item Ledger Entry,Return Reason Code
Item Ledger Entry,Serial No.
Item Ledger Entry,Shipped Qty. Not Returned
Item Ledger Entry,Shpt. Method Code
Item Ledger Entry,Source No.
Item Ledger Entry,Source Type
Item Ledger Entry,SystemCreatedAt
Item Ledger Entry,SystemModifiedAt
Item Ledger Entry,Transaction Specification
Item Ledger Entry,Transaction Type
Item Ledger Entry,Transport Method
Item Ledger Entry,Unit of Measure Code
Item Ledger Entry,Variant Code
Item Ledger Entry,Warranty Date
Item Substitution,No.
Item Substitution,Variant Code
Item Substitution,Substitute No.
Item Substitution,Substitute Variant Code
Item Substitution,Description
Item Substitution,Inventory
Item Substitution,Interchangeable
Item Substitution,Substitute Type
Item Substitution,Sub. Item No.
Item Substitution,Relations Level
Item Variant,Blocked
Item Variant,Code
Item Variant,Description
Item Variant,Description 2
Item Variant,Item No.
Item Variant,Purchasing Blocked
Item Variant,Sales Blocked
Item Variant,Service Blocked
Item Variant,SystemCreatedAt
Item Variant,SystemModifiedAt
Item Vendor,Item No.
Item Vendor,SystemCreatedAt
Item Vendor,SystemModifiedAt
Item Vendor,Variant Code
Item Vendor,Vendor Item No.
Item Vendor,Vendor No.
Location,Address
Location,Address 2
Location,City
Location,Code
Location,Contact
Location,Country/Region Code
Location,County
Location,E-Mail
Location,Name
Location,Name 2
Location,Phone No.
Location,Phone No. 2
Location,Post Code
Location,SystemCreatedAt
Location,SystemModifiedAt
Location,Use As In-Transit
Phys. Inventory Ledger Entry,Amount
Phys. Inventory Ledger Entry,Description
Phys. Inventory Ledger Entry,Dimension Set ID
Phys. Inventory Ledger Entry,Document Date
Phys. Inventory Ledger Entry,Document No.
Phys. Inventory Ledger Entry,Entry No.
Phys. Inventory Ledger Entry,Entry Type
Phys. Inventory Ledger Entry,External Document No.
Phys. Inventory Ledger Entry,Global Dimension 1 Code
Phys. Inventory Ledger Entry,Global Dimension 2 Code
Phys. Inventory Ledger Entry,Inventory Posting Group
Phys. Inventory Ledger Entry,Item No.
Phys. Inventory Ledger Entry,Journal Batch Name
Phys. Inventory Ledger Entry,Last Item Ledger Entry No.
Phys. Inventory Ledger Entry,Location Code
Phys. Inventory Ledger Entry,No. Series
Phys. Inventory Ledger Entry,Phys Invt Counting Period Code
Phys. Inventory Ledger Entry,Phys Invt Counting Period Type
Phys. Inventory Ledger Entry,Posting Date
Phys. Inventory Ledger Entry,Qty. (Calculated)
Phys. Inventory Ledger Entry,Qty. (Phys. Inventory)
Phys. Inventory Ledger Entry,Quantity
Phys. Inventory Ledger Entry,Reason Code
Phys. Inventory Ledger Entry,Salespers./Purch. Code
Phys. Inventory Ledger Entry,Source Code
Phys. Inventory Ledger Entry,SystemCreatedAt
Phys. Inventory Ledger Entry,SystemModifiedAt
Phys. Inventory Ledger Entry,Unit Amount
Phys. Inventory Ledger Entry,Unit Cost
Phys. Inventory Ledger Entry,Unit of Measure Code
Phys. Inventory Ledger Entry,User ID
Phys. Inventory Ledger Entry,Variant Code
Purch. Cr. Memo Hdr.,Area
Purch. Cr. Memo Hdr.,Buy-from Address
Purch. Cr. Memo Hdr.,Buy-from Address 2
Purch. Cr. Memo Hdr.,Buy-from City
Purch. Cr. Memo Hdr.,Buy-from Contact
Purch. Cr. Memo Hdr.,Buy-from Contact No.
Purch. Cr. Memo Hdr.,Buy-from Country/Region Code
Purch. Cr. Memo Hdr.,Buy-from County
Purch. Cr. Memo Hdr.,Buy-from Post Code
Purch. Cr. Memo Hdr.,Buy-from Vendor Name
Purch. Cr. Memo Hdr.,Buy-from Vendor Name 2
Purch. Cr. Memo Hdr.,Buy-from Vendor No.
Purch. Cr. Memo Hdr.,Campaign No.
Purch. Cr. Memo Hdr.,Correction
Purch. Cr. Memo Hdr.,Currency Code
Purch. Cr. Memo Hdr.,Currency Factor
Purch. Cr. Memo Hdr.,Dimension Set ID
Purch. Cr. Memo Hdr.,Document Date
Purch. Cr. Memo Hdr.,Due Date
Purch. Cr. Memo Hdr.,Entry Point
Purch. Cr. Memo Hdr.,Expected Receipt Date
Purch. Cr. Memo Hdr.,Gen. Bus. Posting Group
Purch. Cr. Memo Hdr.,Invoice Disc. Code
Purch. Cr. Memo Hdr.,Language Code
Purch. Cr. Memo Hdr.,Location Code
Purch. Cr. Memo Hdr.,No.
Purch. Cr. Memo Hdr.,On Hold
Purch. Cr. Memo Hdr.,Order Address Code
Purch. Cr. Memo Hdr.,Payment Discount %
Purch. Cr. Memo Hdr.,Payment Method Code
Purch. Cr. Memo Hdr.,Payment Terms Code
Purch. Cr. Memo Hdr.,Pay-to Address
Purch. Cr. Memo Hdr.,Pay-to Address 2
Purch. Cr. Memo Hdr.,Pay-to City
Purch. Cr. Memo Hdr.,Pay-to Contact
Purch. Cr. Memo Hdr.,Pay-to Contact No.
Purch. Cr. Memo Hdr.,Pay-to Country/Region Code
Purch. Cr. Memo Hdr.,Pay-to County
Purch. Cr. Memo Hdr.,Pay-to Name
Purch. Cr. Memo Hdr.,Pay-to Name 2
Purch. Cr. Memo Hdr.,Pay-to Post Code
Purch. Cr. Memo Hdr.,Pay-to Vendor No.
Purch. Cr. Memo Hdr.,Pmt. Discount Date
Purch. Cr. Memo Hdr.,Posting Date
Purch. Cr. Memo Hdr.,Posting Description
Purch. Cr. Memo Hdr.,Provincial Tax Area Code
Purch. Cr. Memo Hdr.,Purchaser Code
Purch. Cr. Memo Hdr.,Reason Code
Purch. Cr. Memo Hdr.,Responsibility Center
Purch. Cr. Memo Hdr.,Return Order No.
Purch. Cr. Memo Hdr.,Sell-to Customer No.
Purch. Cr. Memo Hdr.,Shipment Method Code
Purch. Cr. Memo Hdr.,Ship-to Address
Purch. Cr. Memo Hdr.,Ship-to Address 2
Purch. Cr. Memo Hdr.,Ship-to City
Purch. Cr. Memo Hdr.,Ship-to Code
Purch. Cr. Memo Hdr.,Ship-to Contact
Purch. Cr. Memo Hdr.,Ship-to Country/Region Code
Purch. Cr. Memo Hdr.,Ship-to County
Purch. Cr. Memo Hdr.,Ship-to Name
Purch. Cr. Memo Hdr.,Ship-to Name 2
Purch. Cr. Memo Hdr.,Ship-to Phone No.
Purch. Cr. Memo Hdr.,Ship-to Post Code
Purch. Cr. Memo Hdr.,Ship-to UPS Zone
Purch. Cr. Memo Hdr.,Shortcut Dimension 1 Code
Purch. Cr. Memo Hdr.,Shortcut Dimension 2 Code
Purch. Cr. Memo Hdr.,Source Code
Purch. Cr. Memo Hdr.,SystemCreatedAt
Purch. Cr. Memo Hdr.,SystemModifiedAt
Purch. Cr. Memo Hdr.,Tax Area Code
Purch. Cr. Memo Hdr.,Tax Exemption No.
Purch. Cr. Memo Hdr.,Tax Liable
Purch. Cr. Memo Hdr.,Transaction Specification
Purch. Cr. Memo Hdr.,Transaction Type
Purch. Cr. Memo Hdr.,Transport Method
Purch. Cr. Memo Hdr.,User ID
Purch. Cr. Memo Hdr.,VAT Base Discount %
Purch. Cr. Memo Hdr.,VAT Bus. Posting Group
Purch. Cr. Memo Hdr.,VAT Country/Region Code
Purch. Cr. Memo Hdr.,VAT Registration No.
Purch. Cr. Memo Hdr.,VAT Reporting Date
Purch. Cr. Memo Hdr.,Vendor Cr. Memo No.
Purch. Cr. Memo Hdr.,Vendor Ledger Entry No.
Purch. Cr. Memo Hdr.,Vendor Posting Group
Purch. Cr. Memo Hdr.,Your Reference
Purch. Cr. Memo Line,Amount
Purch. Cr. Memo Line,Amount Including VAT
Purch. Cr. Memo Line,Appl.-to Item Entry
Purch. Cr. Memo Line,Area
Purch. Cr. Memo Line,Bin Code
Purch. Cr. Memo Line,Blanket Order Line No.
Purch. Cr. Memo Line,Blanket Order No.
Purch. Cr. Memo Line,Buy-from Vendor No.
Purch. Cr. Memo Line,Deferral Code
Purch. Cr. Memo Line,Description
Purch. Cr. Memo Line,Description 2
Purch. Cr. Memo Line,Dimension Set ID
Purch. Cr. Memo Line,Direct Unit Cost
Purch. Cr. Memo Line,Document No.
Purch. Cr. Memo Line,Expected Receipt Date
Purch. Cr. Memo Line,Gen. Bus. Posting Group
Purch. Cr. Memo Line,Gen. Prod. Posting Group
Purch. Cr. Memo Line,Gross Weight
Purch. Cr. Memo Line,Indirect Cost %
Purch. Cr. Memo Line,Inv. Discount Amount
Purch. Cr. Memo Line,Item Category Code
Purch. Cr. Memo Line,Job No.
Purch. Cr. Memo Line,Line Amount
Purch. Cr. Memo Line,Line Discount %
Purch. Cr. Memo Line,Line Discount Amount
Purch. Cr. Memo Line,Line No.
Purch. Cr. Memo Line,Location Code
Purch. Cr. Memo Line,Net Weight
Purch. Cr. Memo Line,No.
Purch. Cr. Memo Line,Nonstock
Purch. Cr. Memo Line,Order Line No.
Purch. Cr. Memo Line,Order No.
Purch. Cr. Memo Line,Pay-to Vendor No.
Purch. Cr. Memo Line,Pmt. Discount Amount
Purch. Cr. Memo Line,Posting Date
Purch. Cr. Memo Line,Posting Group
Purch. Cr. Memo Line,Provincial Tax Area Code
Purch. Cr. Memo Line,Purchasing Code
Purch. Cr. Memo Line,Qty. per Unit of Measure
Purch. Cr. Memo Line,Quantity
Purch. Cr. Memo Line,Quantity (Base)
Purch. Cr. Memo Line,Responsibility Center
Purch. Cr. Memo Line,Return Reason Code
Purch. Cr. Memo Line,Return Shipment Line No.
Purch. Cr. Memo Line,Return Shipment No.
Purch. Cr. Memo Line,Salvage Value
Purch. Cr. Memo Line,Shortcut Dimension 1 Code
Purch. Cr. Memo Line,Shortcut Dimension 2 Code
Purch. Cr. Memo Line,SystemCreatedAt
Purch. Cr. Memo Line,SystemModifiedAt
Purch. Cr. Memo Line,Tax Area Code
Purch. Cr. Memo Line,Tax Group Code
Purch. Cr. Memo Line,Tax Liable
Purch. Cr. Memo Line,Type
Purch. Cr. Memo Line,Unit Cost
Purch. Cr. Memo Line,Unit Cost (LCY)
Purch. Cr. Memo Line,Unit of Measure
Purch. Cr. Memo Line,Unit of Measure Code
Purch. Cr. Memo Line,Unit Price (LCY)
Purch. Cr. Memo Line,Unit Volume
Purch. Cr. Memo Line,Units per Parcel
Purch. Cr. Memo Line,Use Duplication List
Purch. Cr. Memo Line,Use Tax
Purch. Cr. Memo Line,Variant Code
Purch. Cr. Memo Line,VAT %
Purch. Cr. Memo Line,VAT Base Amount
Purch. Cr. Memo Line,VAT Bus. Posting Group
Purch. Cr. Memo Line,VAT Calculation Type
Purch. Cr. Memo Line,VAT Difference
Purch. Cr. Memo Line,VAT Identifier
